"Main_Street_Name","summary_vehicle","summary_pedestrian","day_of_week"
" QUEENS PARK CRES E ",12427,1217,"Tuesday"
" CUMMER AVE ",12849,779,"Wednesday"
" FRONT ST E ",7485,6045,"Tuesday"
" SIMCOE ST ",7279,6248,"Monday"
" MILLWICK DR ",13253,234,"Tuesday"
" STRACHAN AVE ",12615,793,"Wednesday"
" COXWELL AVE ",12385,947,"Saturday"
" DORIS AVE ",10252,3067,"Wednesday"
" WELLINGTON ST W ",6090,7101,"Monday"
" DORIS AVE ",10340,2845,"Monday"
" EGLINTON AVE E ",11823,1302,"Friday"
" DONLANDS AVE ",12339,712,"Thursday"
" OSSINGTON AVE ",11911,992,"Tuesday"
" THE WESTWAY ",12672,188,"Tuesday"
" DIXON RD ",12019,584,"Monday"
" YORK ST ",6498,6101,"Saturday"
" WILLOWDALE AVE ",12377,154,"Wednesday"
" LANSDOWNE AVE ",10502,1974,"Monday"
" LESLIE ST ",11869,555,"Friday"
" FRONT ST E ",10245,2092,"Wednesday"
" RATHBURN RD ",11853,476,"Wednesday"
" PORT UNION RD ",12119,191,"Wednesday"
" BELLAMY RD N ",11700,578,"Tuesday"
" FRONT ST E ",10718,1526,"Thursday"
" CLONMORE DR ",11986,138,"Wednesday"
" ADELAIDE ST E ",9398,2697,"Wednesday"
" MCLEVIN AVE ",11514,508,"Thursday"
" LAKE SHORE BLVD E ",11607,256,"Tuesday"
" BELLAMY RD N ",11683,159,"Wednesday"
" CALEDONIA RD ",11131,592,"Thursday"
" BERMONDSEY RD ",11486,129,"Monday"
" BRENTCLIFFE RD ",10837,714,"Wednesday"
" ROYAL YORK RD ",11045,472,"Monday"
" O CONNOR DR ",10868,637,"Thursday"
" MCLEVIN AVE ",10797,689,"Monday"
" MARTIN GROVE RD ",11430,42,"Wednesday"
" DAVENPORT RD ",9984,1409,"Tuesday"
" NORTH QUEEN ST ",11356,29,"Thursday"
" NORTH QUEEN ST ",11001,348,"Monday"
" DUFFERIN ST ",10922,378,"Thursday"
" GREENWOOD AVE ",10268,792,"Monday"
" OAK ST ",10787,240,"Wednesday"
" IAN MACDONALD BLVD ",10151,844,"Monday"
" QUEEN ST W ",7554,3438,"Monday"
" PAPE AVE ",9659,1306,"Monday"
" HUMBER COLLEGE BLVD ",9641,1295,"Tuesday"
" STRACHAN AVE ",10518,374,"Monday"
" DUNDAS ST E ",9975,821,"Tuesday"
" RONCESVALLES AVE ",8973,1781,"Monday"
" YORKLAND RD ",9900,840,"Monday"
" WELLESLEY ST E ",7234,3393,"Wednesday"
" DREWRY AVE ",9696,923,"Wednesday"
" SOUTH KINGSWAY ",10267,283,"Tuesday"
" SOUTHVALE DR ",10375,131,"Thursday"
" CONSUMERS RD ",9725,580,"Wednesday"
" WILLOWDALE AVE ",10004,191,"Thursday"
" ALNESS ST ",10105,76,"Monday"
" NORTH QUEEN ST ",10004,168,"Tuesday"
" BROADVIEW AVE ",9311,833,"Tuesday"
" HUMBER COLLEGE BLVD ",8980,1157,"Wednesday"
" YORKDALE 401 ALLEN N RAMP ",9517,510,"Thursday"
" SIGNET DR ",9875,57,"Thursday"
" SHOREHAM DR ",9029,864,"Tuesday"
" SCARLETT RD ",9745,146,"Wednesday"
" DON MILLS RD E ",8216,1574,"Thursday"
" MCNICOLL AVE ",9668,87,"Wednesday"
" HOSKIN AVE ",6686,3033,"Monday"
" SHERWAY GARDENS RD ",9713,0,"Tuesday"
" WILMINGTON AVE ",8680,1028,"Tuesday"
" LOWER SHERBOURNE ST ",6830,2825,"Wednesday"
" MEADOWVALE RD ",9227,391,"Wednesday"
" CHESSWOOD DR ",9140,339,"Monday"
" LUMSDEN AVE ",8472,1003,"Thursday"
" CONSILIUM PL ",9144,298,"Thursday"
" MILITARY TRL ",7669,1696,"Wednesday"
" WICKSTEED AVE ",8998,277,"Tuesday"
" THE EAST MALL ",8575,615,"Monday"
" DANFORTH RD ",8898,164,"Monday"
" FENMAR DR ",8958,64,"Monday"
" WELLESLEY ST E ",6199,2798,"Tuesday"
" SENTINEL RD ",7493,1468,"Wednesday"
" HORNER AVE ",8574,350,"Tuesday"
" TAPSCOTT RD ",6144,2752,"Tuesday"
" CHAPLIN CRES ",8121,751,"Monday"
" BEECROFT RD ",8164,702,"Wednesday"
" GREENWOOD AVE ",8093,748,"Tuesday"
" CHRISTIE ST ",6708,2037,"Monday"
" MILNER AVE ",8415,298,"Thursday"
" DONLANDS AVE ",7811,894,"Monday"
" MIDDLEFIELD RD ",8621,52,"Thursday"
" TRETHEWEY DR ",8060,573,"Thursday"
" CARLINGVIEW DR ",8605,24,"Wednesday"
" ALLIANCE AVE ",7916,622,"Tuesday"
" BREMNER BLVD ",7773,709,"Wednesday"
" MEADOWVALE RD ",8454,17,"Thursday"
" ANNETTE ST ",7466,1004,"Monday"
" DUPLEX AVE ",7313,1144,"Wednesday"
" HUNTINGWOOD DR ",8310,130,"Monday"
" DAWES RD ",8060,371,"Monday"
