"stop_id","name_stop","lat","log"
"6287","bedford Hwy opposite Shaunslieve Dr",44.6962,-63.6607
"6288","bedford Hwy opposite Tremont Dr",44.6785,-63.6503
"6289","bedford Hwy opposite civic address 58",44.6654,-63.6356
"6290","bedford Hwy opposite civic address 838",44.7112,-63.6715
"6291","bell Rd [eastbound] after Robie St",44.647,-63.5893
"6292","bellevista Dr after Woodlawn Rd",44.6772,-63.5271
"6293","bellevista Dr in front of civic address 35",44.68,-63.5149
"6294","bellevista Dr before civic address 71",44.6787,-63.5178
"6296","berts Dr in front of Main Ave",44.6591,-63.6371
"6301","blue Thistle Rd before Moss Ct",44.673,-63.6737
"6302","boland Rd after Cairn St",44.673,-63.5805
"6303","boland Rd before Victoria Rd",44.675,-63.5781
"6304","boland Rd opposite and after Cairn St",44.6735,-63.5798
"6305","booth St before civic address 21",44.6877,-63.5255
"6306","booth St before civic address 5",44.6859,-63.5242
"6307","bradorian Dr in front of civic address 98",44.6892,-63.4855
"6308","bradorian Dr after civic address 16",44.6924,-63.4873
"6311","prince Albert Rd in front of Superstore",44.6799,-63.5491
"6312","braemar Dr before Braemar Apt",44.6905,-63.5465
"6313","braemar Dr before Parclo",44.6858,-63.5475
"6314","braemar Dr opposite Maple St",44.6884,-63.5469
"6315","brentwood Ave in front of civic address 5",44.6548,-63.7336
"6316","brentwood Ave after civic address 73",44.6531,-63.7364
"6317","brentwood Ave before St Margarets Bay Rd",44.6547,-63.7337
"6318","brentwood Ave before civic address 52",44.6534,-63.7355
"6319","broadholme Ln after Kearney Lake Rd",44.6837,-63.6736
"6320","broadholme Ln after O'hara Dr",44.6825,-63.6719
"6321","brookfield Ave after Caldwell Rd",44.6514,-63.4851
"6322","brookfield Ave in front of Willowdale Dr",44.6526,-63.4835
"6323","brownlow Ave in front of civic address 202 [to Sackville]",44.6984,-63.5807
"6324","brownlow Ave in front of civic address 202",44.6983,-63.5806
"6325","brownlow Ave in front of civic address 250",44.6951,-63.5775
"6326","brownlow Ave after civic address 260 [to Sackville]",44.6954,-63.5756
"6327","brownlow Ave in front of civic address 260",44.6954,-63.5755
"6328","brownlow Ave in front of civic address 236",44.6956,-63.5791
"6329","brownlow Ave in front of civic address 236 [to Sackville]",44.6955,-63.5791
"6330","brownlow Ave before civic address 250 [to Sackville]",44.6951,-63.5776
"6331","cain St in front of Churchill Terr",44.7435,-63.4657
"6332","caldwell Rd after Cherrywood Dr",44.6625,-63.4946
"6333","caldwell Rd after Cow Bay Rd",44.6114,-63.4733
"6334","caldwell Rd after Himmelman Dr",44.6025,-63.4666
"6335","caldwell Rd after Portland St",44.6701,-63.5019
"6336","caldwell Rd after Sherwood St",44.6486,-63.4829
"6337","caldwell Rd after Thorncrest Ct",44.609,-63.4715
"6338","caldwell Rd after Wexford Rd",44.6672,-63.4993
"6339","caldwell Rd before civic address 2001",44.6042,-63.4673
"6340","caldwell Rd in front of Oceanview Manor",44.6064,-63.4687
"6341","caldwell Rd before civic address 385",44.6575,-63.4903
"6342","caldwell Rd before civic address 564",44.6506,-63.4848
"6343","caldwell Rd before Delta Dr",44.6652,-63.497
"6344","caldwell Rd before Hampton Green",44.6685,-63.5007
"6345","caldwell Rd before Nova Terrace",44.6574,-63.4902
"6346","caldwell Rd before Shore Rd",44.601,-63.4665
"6347","caldwell Rd in front of civic address 96",44.6675,-63.4995
"6348","caldwell Rd [inbound] opposite civic address 300",44.66,-63.4922
"6349","caldwell Rd after Delta Dr",44.6664,-63.4984
"6350","caldwell Rd before Deerbrooke Dr",44.6628,-63.4947
"6351","caldwell Rd before Cole Harbour Rd",44.6697,-63.5017
"6352","caldwell Rd in front of civic address 307",44.6601,-63.4925
"6353","caldwell Rd before civic address 61",44.6684,-63.5007
"6354","caldwell Rd in front of civic address 692",44.6466,-63.4815
"6355","caledonia Rd after Roleika Dr",44.6873,-63.5307
"6356","caledonia Rd after civic address 207",44.6979,-63.5366
"6357","caledonia Rd after Dunbarton Ave",44.6935,-63.5339
"6358","caledonia Rd opposite Gourok Ave",44.6963,-63.5357
"6359","caledonia Rd after Main St",44.6855,-63.5299
"6360","caledonia Rd after and opposite Westwood Dr",44.6892,-63.5316
"6361","caledonia Rd after Montebello Dr",44.7,-63.5379
"6362","caledonia Rd before Gourok Ave",44.6958,-63.5354
"6363","caledonia Rd before Strath Lane",44.6904,-63.5323
"6364","caledonia Rd in front of civic address 212",44.698,-63.5367
"6365","breeze Dr before Appian Way",44.702,-63.5395
"6366","caledonia Rd before Roleika Dr",44.6873,-63.5307
"6367","caledonia Rd before Dunbarton Ave",44.6935,-63.5339
"6368","caledonia Rd before Main St",44.6854,-63.5299
"6369","caledonia Rd before Paul David Ct",44.6919,-63.5329
"6370","caledonia Rd before Westwood Dr",44.6892,-63.5316
"6371","caledonia Rd before Kennedy Dr",44.6906,-63.5323
"6372","caledonia Rd before Montebello Dr",44.7001,-63.5379
"6373","carlisle Dr after and opposite Huntington Dr",44.6502,-63.4776
"6374","carlisle Dr before Shrewsbury Rd",44.6515,-63.4797
"6375","chain Lake Dr after Lakelands Blvd",44.6378,-63.6694
"6376","horseshoe Lake Dr [inbound] in front of civic address 81",44.6383,-63.6715
"6377","chain Lake Dr [inbound] in front of Greystone Ct",44.6446,-63.6665
"6378","horseshoe Lake Dr after Suzie Lake Cr",44.6449,-63.6754
"6379","chain Lake Dr [outbound] before Lakelands Blvd",44.6376,-63.6695
"6380","chain Lake Dr before Mcquade Lake Dr",44.6377,-63.6664
"6381","horseshoe Lake Dr [outbound] opposite civic address 81",44.639,-63.6718
"6382","chain Lake Dr opposite Costco Entrance",44.6535,-63.6778
"6383","horseshoe Lake Dr [inbound] in front of Suzie Lake Cr",44.6453,-63.6753
"6384","horseshoe Lake Dr in front of The Courtyard",44.6413,-63.6727
"6385","chain Lake Dr [outbound] after Susie Lake Cr",44.6462,-63.673
"6386","chain Lake Dr [inbound] after Oland Ct",44.6481,-63.6748
"6387","chain Lake Dr [inbound] in front of Superstore",44.6524,-63.6764
"6388","chain Lake Dr in front of Bl Corporate Centre",44.6429,-63.663
"6389","chain Lake Dr [outbound] in front of Burger King",44.6499,-63.6758
"6390","chain Lake Dr in front of civic address 115",44.639,-63.6623
"6391","chain Lake Dr [inbound] in front of Dairy Queen",44.6504,-63.6755
"6392","chain Lake Dr [inbound] in front of Costco Entrance",44.6543,-63.6775
"6393","chain Lake Dr [outbound] before Oland Ct",44.648,-63.6751
"6394","chain Lake Dr [outbound] in front of Subway",44.6518,-63.6765
"6395","horseshoe Lake Dr opposite The Courtyard",44.6408,-63.6718
"6396","chebucto Rd [westbound] after Oxford St",44.6487,-63.6028
"6397","chebucto Rd [eastbound] after Oxford St",44.6487,-63.6021
"6398","chebucto Rd [westbound] after Phillips St",44.6444,-63.6177
"6399","chebucto Rd after Armdale Roundabout",44.6422,-63.6199
"6400","chebucto Rd after Saint Matthias St",44.6501,-63.5971
"6401","chebucto Rd [eastbound] after and opposite Dublin St",44.6494,-63.5993
"6402","chebucto Rd in front of civic address 6361",44.6493,-63.6006
"6403","chebucto Rd [eastbound] before Benjamin Green Dr",44.646,-63.6108
"6404","chebucto Rd [westbound] before Connaught Ave",44.6476,-63.6071
"6405","chebucto Rd [westbound] before Connolly St",44.6481,-63.6049
"6406","chebucto Rd [eastbound] before Elm St",44.6479,-63.6056
"6407","chebucto Rd [eastbound] before Newton St",44.6466,-63.6086
"6408","chebucto Rd [eastbound] before Phillips St",44.6444,-63.6175
"6409","chebucto Rd [eastbound] before Quinn St",44.6457,-63.6129
"6410","chebucto Rd before Armdale Roundabout",44.6424,-63.6199
"6411","chebucto Rd [westbound] opposite Joseph St",44.6437,-63.6186
"6412","chebucto Rd opposite Saint Matthias St",44.65,-63.5967
"6413","chebucto Rd opposite Benjamin Green Dr",44.6462,-63.6105
"6414","chebucto Rd [westbound] opposite Quinn St",44.6459,-63.6124
"6415","chebucto Rd [eastbound] before Joseph St",44.6436,-63.6186
"6416","cherry Brook Rd in front of civic address 126",44.7072,-63.4751
"6417","cherry Brook Rd before Bundy Lane",44.7095,-63.4798
"6418","cherry Brook Rd in front of Jr High Sch",44.7049,-63.4727
"6419","cherry Brook Rd before Hwy #7",44.7031,-63.4709
"6420","cherry Brook Rd in front of civic address 202",44.7083,-63.4785
"6421","circassion Dr after civic address 199",44.679,-63.4996
"6422","circassion Dr after Poplar Dr",44.6789,-63.4995
"6423","circassion Dr in front of civic address 110",44.6795,-63.496
"6424","circassion Dr in front of civic address 19",44.677,-63.493
"6425","circassion Dr in front of civic address 78",44.6789,-63.4944
"6426","circassion Dr in front of civic address 85",44.6788,-63.4942
"6427","circassion Dr opposite civic address 134",44.6794,-63.4969
"6428","circassion Dr opposite civic address 19",44.677,-63.4931
"6429","cobequid Rd [outbound] after Glendale Dr",44.7602,-63.6591
"6430","cobequid Rd after Macintyre Lane",44.7668,-63.6471
"6431","cobequid Rd after Maple Grove Dr",44.7649,-63.6494
"6433","cobequid Rd after Exit Ramp",44.755,-63.6619
"6434","cobequid Rd after Zinck Ave",44.7585,-63.6608
"6435","cobequid Rd before civic address 112",44.7561,-63.662
